"FIPS","NH3","NOX","PM25","SO2","VOCA","A_NH3","A_NOX","A_PM25","A_SO2","A_VOCA","A_NH3_BEN","A_NOX_BEN","A_SO2_BEN","A_PM25_BEN","A_VOCA_BEN"
5115,46408,17722,80813,50662,3618.5,0,-110.72,-2.1797,-3.067,-50.541,0,-1962179.84,-155380.354,-176148.0961,-182882.6085
5117,46546,17967,81520,52484,3650.1,0,-63.864,-1.1362,-1.5576,-26.79,0,-1147444.488,-81749.0784,-92623.024,-97786.179
5119,120740,26244,193840,74438,8679.3,0,-701.58,-15.49,-22.382,-354.03,0,-18412265.52,-1666071.316,-3002581.6,-3072732.579
5121,44800,17837,78534,51676,3516.5,0,-23.647,-0.47604,-0.69635,-11.269,0,-421791.539,-35984.5826,-37385.32536,-39627.4385
5123,51218,19182,88384,55620,3957.5,0,-133.52,-2.4479,-3.0678,-55.67,0,-2561180.64,-170631.036,-216355.1936,-220314.025
5125,130620,26936,208700,76357,9344.9,0,-137.12,-2.824,-3.8878,-66.563,0,-3693464.32,-296860.7446,-589368.8,-622024.5787
5127,48391,17307,83590,49739,3742.9,0,-21.242,-0.38244,-0.57847,-10.051,0,-367635.294,-28772.51933,-31968.1596,-37619.8879
5129,42289,16612,74453,48365,3333.7,0,-17.372,-0.33757,-0.55388,-7.9765,0,-288583.664,-26788.4062,-25133.09921,-26591.25805
5131,53172,17104,90247,48915,4040.9,0,-172.54,-3.6693,-5.5955,-87.577,0,-2951124.16,-273703.8825,-331143.3171,-353889.8993
5133,31645,19254,69037,23981,3091.2,0,-22.529,-0.38796,-0.66062,-10.895,0,-433773.366,-15842.32822,-26783.59452,-33678.624
5135,44013,17448,77285,50728,3460.5,0,-25.109,-0.4776,-0.75213,-11.637,0,-438101.832,-38154.05064,-36911.316,-40269.8385
5137,37769,16270,67629,47702,3028.2,0,-18.304,-0.34807,-0.57118,-8.4701,0,-297806.08,-27246.42836,-23539.62603,-25649.15682
5139,38656,16109,69118,47595,3094.8,0,-71.152,-1.2619,-2.1494,-35.994,0,-1146187.568,-102300.693,-87220.0042,-111394.2312
5141,43624,17158,76614,49840,3430.5,0,-37.881,-0.71467,-1.074,-17.552,0,-649962.198,-53528.16,-54753.72738,-60212.136
5143,66532,21264,118510,60977,5306.4,0,-251.08,-5.7618,-7.7471,-119.52,0,-5338965.12,-472394.9167,-682830.918,-634220.928
5145,47340,18256,82865,53256,3710.4,0,-125.25,-2.4396,-3.5885,-59.932,0,-2286564,-191109.156,-202157.454,-222371.6928
5147,35057,16711,63887,49240,2860.6,0,-13.431,-0.24244,-0.39156,-6.3865,0,-224445.441,-19280.4144,-15488.76428,-18269.2219
5149,43738,17196,76828,49753,3440.1,0,-32.442,-0.58083,-0.92101,-15.486,0,-557872.632,-45823.01053,-44624.00724,-53273.3886
6001,539170,121160,848290,292660,37983,0,0,0,0,-108.17,0,0,0,0,-4108621.11
6003,31753,14047,68209,42797,3054.2,0,0,0,0,-0.12975,0,0,0,0,-396.28245
6005,105240,29277,196570,82458,8801.6,0,0,0,0,-6.5251,0,0,0,0,-57431.32016
6007,34133,16119,74909,48440,3354.1,0,0,0,0,-19.352,0,0,0,0,-64908.5432
6009,53221,22377,108860,62462,4874.2,0,0,0,0,-7.717,0,0,0,0,-37614.2014
6011,54106,24784,114120,69229,5109.8,0,0,0,0,-2.76,0,0,0,0,-14103.048
6013,717400,154830,1116300,366750,49982,0,0,0,0,-82.081,0,0,0,0,-4102572.542
6015,11996,6247.1,21466,17824,961.17,0,0,0,0,-1.6243,0,0,0,0,-1561.228431
6017,65086,24135,131040,70320,5867.6,0,0,0,0,-21.25,0,0,0,0,-124686.5
6019,74136,49747,162690,114380,7284.5,0,0,0,0,-87.516,0,0,0,0,-637510.302
6021,29854,17440,69324,50991,3104.1,0,0,0,0,-4.1149,0,0,0,0,-12773.06109
6023,11846,7329.6,21157,19724,947.34,0,0,0,0,-15.094,0,0,0,0,-14299.14996
6025,26712,23811,84401,81490,3779.2,0,0,0,0,-30.361,0,0,0,0,-114740.2912
6027,16825,12673,31012,17031,1388.6,0,0,0,0,-5.0547,0,0,0,0,-7018.95642
6029,163290,46835,182340,39838,8164.7,0,0,0,0,-100.7,0,0,0,0,-822185.29
6031,66799,44633,133830,83563,5992.6,0,0,0,0,-11.533,0,0,0,0,-69112.6558
6033,45411,24433,100310,68048,4491.5,0,0,0,0,-9.1676,0,0,0,0,-41176.2754
6035,22584,19507,54768,29548,2452.3,0,0,0,0,-2.8103,0,0,0,0,-6891.69869
6037,1726900,673870,2494100,1347700,111680,0,0,0,0,-955.14,0,0,0,0,-106670035.2
6039,76251,35632,151240,83809,6772.1,0,0,0,0,-18.022,0,0,0,0,-122046.7862
6041,334760,79522,551560,199120,24697,0,0,0,0,-21.136,0,0,0,0,-521995.792
6043,40557,21428,86983,56791,3894.8,0,0,0,0,-3.1455,0,0,0,0,-12251.0934
6045,28418,19917,70422,58067,3153.2,0,0,0,0,-12.58,0,0,0,0,-39667.256
6047,90160,53016,175390,97340,7853.5,0,0,0,0,-22.6,0,0,0,0,-177489.1
6049,5647.7,3859,10514,11215,470.78,0,0,0,0,-0.69469,0,0,0,0,-327.0461582
6051,12676,10830,26448,14817,1184.2,0,0,0,0,-1.0807,0,0,0,0,-1279.76494
6053,35973,23173,81209,64201,3636.2,0,0,0,0,-40.048,0,0,0,0,-145622.5376
6055,210560,64246,368150,150820,16484,0,0,0,0,-13.96,0,0,0,0,-230116.64
6057,128760,37484,245670,108370,11000,0,0,0,0,-12.666,0,0,0,0,-139326
6059,766510,205240,1170600,478510,52413,0,0,0,0,-250.38,0,0,0,0,-13123166.94
6061,118890,40992,236840,119400,10605,0,0,0,0,-29.144,0,0,0,0,-309072.12
6063,31107,21323,68253,30695,3056.1,0,0,0,0,-3.0004,0,0,0,0,-9169.52244
6065,212760,156370,584140,502160,26155,0,0,0,0,-298.01,0,0,0,0,-7794451.55
6067,314690,104180,543300,214550,24327,0,0,0,0,-93.71,0,0,0,0,-2279683.17
6069,61368,29647,129510,82656,5799.1,0,0,0,0,-8.4368,0,0,0,0,-48925.84688
6071,119260,52216,175010,56797,7836.1,0,0,0,0,-281.87,0,0,0,0,-2208761.507
6073,453440,241640,935830,634480,41903,0,0,0,0,-469.53,0,0,0,0,-19674715.59
6075,681470,111880,1014800,269840,45437,0,0,0,0,-31.792,0,0,0,0,-1444533.104
6077,284560,124880,518790,239410,23229,0,0,0,0,-52.307,0,0,0,0,-1215039.303
6079,65895,34189,130730,92340,5853.4,0,0,0,0,-31.833,0,0,0,0,-186331.2822
6081,321850,71841,533090,185170,23870,0,0,0,0,-64.22,0,0,0,0,-1532931.4
6083,72108,46322,172940,134290,7743.7,0,0,0,0,-43.237,0,0,0,0,-334814.3569
6085,408820,117810,710190,309980,31799,0,0,0,0,-151.97,0,0,0,0,-4832494.03
6087,453910,84814,747280,220710,33460,0,0,0,0,-17.002,0,0,0,0,-568886.92
6089,17332,9179,30414,25160,1361.8,0,0,0,0,-22.08,0,0,0,0,-30068.544
6091,17339,11046,42487,34341,1902.4,0,0,0,0,-0.42187,0,0,0,0,-802.565488
